Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year
FDZ23,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCB31,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDM15,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX27,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
NCS54,LF,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCJ30,low fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDD58,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
DRJ23,Low Fat,Hard Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDS14,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDR27,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDT49,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX26,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCW53,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
FDS19,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
DRF15,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
DRH01,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDJ12,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
NCE42,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRL37,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDJ36,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
NCH18,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRI11,Low Fat,Hard Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCO17,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDS49,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX43,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
NCS17,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
NCC42,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCM26,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type1,2002
FDU32,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDU19,reg,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCM53,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
FDG32,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDF04,LF,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCN55,LF,Others,OUT035,Small,Tier 2,Supermarket Type1,2004
FDJ34,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT51,Regular,Meat,OUT010,-,Tier 3,Grocery Store,1998
FDT01,Regular,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV28,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDD02,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDW48,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDF44,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY14,LF,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDU59,Low Fat,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDQ10,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDV21,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDQ36,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDH12,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDV40,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
NCF07,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDA08,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDP33,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDS27,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
DRD60,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDM28,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCU54,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
NCX05,LF,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX59,Low Fat,Breads,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE10,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW16,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW07,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG38,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRC27,Low Fat,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDT43,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDR44,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDP26,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
NCE55,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU39,Low Fat,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
FDK27,Low Fat,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDP32,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
NCW54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDA36,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDU24,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDX34,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDU27,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDQ25,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998
FDY01,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDH27,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDL10,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDL15,Low Fat,Meat,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDT24,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
NCN55,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type1,2002
FDZ59,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDM57,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD14,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDU19,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
DRJ39,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDI04,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCQ54,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDW12,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDQ32,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRG49,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDP58,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDD57,low fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRG23,Low Fat,Hard Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
NCZ17,LF,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
DRJ11,Low Fat,Hard Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDG16,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDZ51,Regular,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCN43,Low Fat,Others,OUT046,Small,Tier 1,Supermarket Type1,1997
NCN30,LF,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDP39,Low Fat,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDP34,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDM44,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDC28,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRC24,Low Fat,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDN46,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCN53,LF,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY32,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
NCW06,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDY48,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
NCP29,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDB60,low fat,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
DRE60,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN51,Regular,Meat,OUT045,-,Tier 2,Supermarket Type1,2002
DRE15,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRG15,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDX55,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
FDC57,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDA25,Regular,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCK29,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDP48,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDP49,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL38,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998
FDZ21,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDQ44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
NCB42,LF,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDY15,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCW05,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDR23,Low Fat,Breads,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDO34,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ36,Regular,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDX58,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCJ18,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDP22,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDH57,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
DRF51,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDD51,LF,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDW04,reg,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDZ21,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
NCJ30,LF,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO45,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE41,Regular,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRD13,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCC07,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDE51,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCG43,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDS59,Regular,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV16,reg,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDC03,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV60,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDJ60,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDX20,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDD17,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD08,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDX45,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDM25,Regular,Breakfast,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCT42,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT02,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV34,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
NCR41,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT31,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDF33,Low Fat,Seafood,OUT010,-,Tier 3,Grocery Store,1998
NCU29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
NCB55,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
NCU18,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ59,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCI29,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDL03,Regular,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCQ06,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDY31,LF,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRI03,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDL38,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDR37,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDT59,Low Fat,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCX53,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ12,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
NCT05,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDW38,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD33,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDV39,Low Fat,Meat,OUT019,Small,Tier 1,Grocery Store,1985
DRE25,LF,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDC59,reg,Starchy Foods,OUT010,-,Tier 3,Grocery Store,1998
FDF58,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCP50,Low Fat,Others,OUT019,Small,Tier 1,Grocery Store,1985
FDS33,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDP08,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDF29,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCF30,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDI50,Regular,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDD56,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
NCN41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998
FDE23,Regular,Starchy Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDL26,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCB30,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDY50,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
NCK19,Low Fat,Others,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCR38,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985
FDI28,Low Fat,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDO24,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDC45,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDU27,Regular,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDS09,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRE13,low fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV15,Low Fat,Meat,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDH26,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDI22,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDJ26,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDD26,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
NCI55,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDA35,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDN21,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCM43,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998
FDD09,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI24,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
NCN41,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
NCT53,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
FDQ47,Regular,Breads,OUT010,-,Tier 3,Grocery Store,1998
NCD42,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI21,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDS48,Low Fat,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
FDW50,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDO37,Low Fat,Breakfast,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDS04,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDP38,Low Fat,Canned,OUT010,-,Tier 3,Grocery Store,1998
NCF06,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDR35,Low Fat,Breads,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB04,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDK16,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDM57,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDF45,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDH04,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDL25,Regular,Breakfast,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDK40,LF,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDV46,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDU31,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
NCQ53,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDD09,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY19,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDI33,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDG08,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDE39,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDH53,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB09,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI22,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX24,LF,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDE09,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDJ57,Regular,Seafood,OUT046,Small,Tier 1,Supermarket Type1,1997
DRC49,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDU19,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDU43,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDA50,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
NCM29,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
FDQ13,Low Fat,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDB26,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDI21,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDV25,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDQ23,Low Fat,Breads,OUT013,High,Tier 3,Supermarket Type1,1987
FDJ41,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
NCO42,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDQ13,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU47,Regular,Breads,OUT010,-,Tier 3,Grocery Store,1998
FDW57,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
DRN47,Low Fat,Hard Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDW28,Low Fat,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCN42,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDR60,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO09,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDX45,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDH27,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDO08,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDG10,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDZ40,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDZ27,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ46,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDI46,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCW53,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY52,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDU07,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCQ05,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
FDT16,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCJ17,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
NCY29,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
NCQ18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS02,Regular,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCK31,Low Fat,Others,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDH60,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO19,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
DRF37,low fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN21,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDM14,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDO08,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDS27,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
DRM59,Low Fat,Hard Drinks,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCO29,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
FDC32,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
DRA12,Low Fat,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI14,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRG51,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDR33,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDS23,Low Fat,Breads,OUT017,-,Tier 2,Supermarket Type1,2007
NCF43,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
DRN37,low fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDX57,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
NCC42,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDS47,Low Fat,Breads,OUT046,Small,Tier 1,Supermarket Type1,1997
DRK35,Low Fat,Hard Drinks,OUT010,-,Tier 3,Grocery Store,1998
DRF37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
DRI23,Low Fat,Hard Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB28,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDU50,Regular,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDD22,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDG04,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDM08,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDI28,Low Fat,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDM57,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCS17,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDX44,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRE03,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDT46,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDW60,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDE44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDT24,Regular,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDO20,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDV47,Low Fat,Breads,OUT049,Medium,Tier 1,Supermarket Type1,1999
